GEO_ID,NAME,DP02_0037E
37001,"Alamance County, North Carolina",1847
37003,"Alexander County, North Carolina",285
37005,"Alleghany County, North Carolina",116
37007,"Anson County, North Carolina",242
37009,"Ashe County, North Carolina",248
37011,"Avery County, North Carolina",97
37013,"Beaufort County, North Carolina",518
37015,"Bertie County, North Carolina",290
37017,"Bladen County, North Carolina",482
37019,"Brunswick County, North Carolina",1007
37021,"Buncombe County, North Carolina",2197
37023,"Burke County, North Carolina",762
37025,"Cabarrus County, North Carolina",2460
37027,"Caldwell County, North Carolina",559
37029,"Camden County, North Carolina",155
37031,"Carteret County, North Carolina",618
37033,"Caswell County, North Carolina",106
37035,"Catawba County, North Carolina",1868
37037,"Chatham County, North Carolina",941
37039,"Cherokee County, North Carolina",325
37041,"Chowan County, North Carolina",179
37043,"Clay County, North Carolina",58
37045,"Cleveland County, North Carolina",1297
37047,"Columbus County, North Carolina",539
37049,"Craven County, North Carolina",1412
37051,"Cumberland County, North Carolina",5344
37053,"Currituck County, North Carolina",482
37055,"Dare County, North Carolina",274
37057,"Davidson County, North Carolina",2089
37059,"Davie County, North Carolina",376
37061,"Duplin County, North Carolina",1205
37063,"Durham County, North Carolina",3838
37065,"Edgecombe County, North Carolina",817
37067,"Forsyth County, North Carolina",4040
37069,"Franklin County, North Carolina",1031
37071,"Gaston County, North Carolina",2646
37073,"Gates County, North Carolina",112
37075,"Graham County, North Carolina",36
37077,"Granville County, North Carolina",539
37079,"Greene County, North Carolina",250
37081,"Guilford County, North Carolina",7007
37083,"Halifax County, North Carolina",397
37085,"Harnett County, North Carolina",1785
37087,"Haywood County, North Carolina",518
37089,"Henderson County, North Carolina",1183
37091,"Hertford County, North Carolina",298
37093,"Hoke County, North Carolina",935
37095,"Hyde County, North Carolina",201
37097,"Iredell County, North Carolina",2427
37099,"Jackson County, North Carolina",457
37101,"Johnston County, North Carolina",2873
37103,"Jones County, North Carolina",62
37105,"Lee County, North Carolina",552
37107,"Lenoir County, North Carolina",778
37109,"Lincoln County, North Carolina",813
37111,"McDowell County, North Carolina",486
37113,"Macon County, North Carolina",370
37115,"Madison County, North Carolina",180
37117,"Martin County, North Carolina",385
37119,"Mecklenburg County, North Carolina",14350
37121,"Mitchell County, North Carolina",90
37123,"Montgomery County, North Carolina",137
37125,"Moore County, North Carolina",924
37127,"Nash County, North Carolina",999
37129,"New Hanover County, North Carolina",2064
37131,"Northampton County, North Carolina",335
37133,"Onslow County, North Carolina",4489
37135,"Orange County, North Carolina",981
37137,"Pamlico County, North Carolina",64
37139,"Pasquotank County, North Carolina",542
37141,"Pender County, North Carolina",857
37143,"Perquimans County, North Carolina",64
37145,"Person County, North Carolina",564
37147,"Pitt County, North Carolina",2040
37149,"Polk County, North Carolina",235
37151,"Randolph County, North Carolina",1774
37153,"Richmond County, North Carolina",321
37155,"Robeson County, North Carolina",1362
37157,"Rockingham County, North Carolina",1073
37159,"Rowan County, North Carolina",1420
37161,"Rutherford County, North Carolina",1002
37163,"Sampson County, North Carolina",622
37165,"Scotland County, North Carolina",419
37167,"Stanly County, North Carolina",723
37169,"Stokes County, North Carolina",304
37171,"Surry County, North Carolina",729
37173,"Swain County, North Carolina",127
37175,"Transylvania County, North Carolina",283
37177,"Tyrrell County, North Carolina",41
37179,"Union County, North Carolina",2656
37181,"Vance County, North Carolina",574
37183,"Wake County, North Carolina",13841
37185,"Warren County, North Carolina",384
37187,"Washington County, North Carolina",80
37189,"Watauga County, North Carolina",341
37191,"Wayne County, North Carolina",1639
37193,"Wilkes County, North Carolina",752
37195,"Wilson County, North Carolina",730
37197,"Yadkin County, North Carolina",545
37199,"Yancey County, North Carolina",268
